TIME,LABEL
0.000000000,N
0.092879819,B
3.343673469,F#7
5.387029478,B
7.616145125,Bm
9.566621315,Abm7b5
11.702857143,Gmaj7
14.396371882,F#
18.018684807,B
24.613151927,Bm
28.699863946,Gmaj7
31.300498866,F#
33.158095238,E
34.922811791,A
39.473922902,D
43.746394558,A
47.647346939,D
49.876462585,F#
51.734058957,B
54.241814059,F#7
55.727891156,B
58.421405896,Bm
60.464761905,Abm7b5
62.508117914,Gmaj7
65.015873016,F#
68.916825397,B
71.053061224,F#7
73.003537415,B
75.325532880,Bm
77.554648526,Abm7b5
79.505124717,Gmaj7
81.641360544,F#
83.684716553,E
85.820952381,A
90.186303855,D
94.458775510,A
98.359727891,D
100.681723356,F#
102.446439909,Bmaj7
104.954195011,E6
105.975873016,F#
107.090430839,B
109.319546485,Bm
111.270022676,Abm7b5
113.313378685,Gmaj7
115.914013605,F#
119.629206349,B
121.858321995,F#7
123.901678005,B
126.037913832,Bm
128.174149660,Abm7b5
130.217505669,Gmaj7
132.911020408,F#
134.489977324,E
136.161814059,A
139.969886621,C#7
140.898684807,D
145.171156463,A
149.257868481,D
151.486984127,F#maj7
152.973061224,B
157.802811791,E
161.982403628,B
166.254875283,E
170.248707483,B
174.985578231,Bm
178.607891156,C#7
183.716281179,N
